filename,DC.title,year,adjective,count,noun_count
"Johanna_Spyri_-_Heidi_kann_brauchen,_was_es_gelernt_hat_(1881)","Heidi kann brauchen, was es gelernt hat",1881,klar,1,23
"Johanna_Spyri_-_Heidi_kann_brauchen,_was_es_gelernt_hat_(1881)","Heidi kann brauchen, was es gelernt hat",1881,still,0,23
"Johanna_Spyri_-_Heidi_kann_brauchen,_was_es_gelernt_hat_(1881)","Heidi kann brauchen, was es gelernt hat",1881,warm,0,23
"Johanna_Spyri_-_Heidi_kann_brauchen,_was_es_gelernt_hat_(1881)","Heidi kann brauchen, was es gelernt hat",1881,feucht,0,23
Achim_von_Arnim_-_Novellen_(1810),Novellen,1810,frisch,0,11
Achim_von_Arnim_-_Novellen_(1810),Novellen,1810,frei,2,11
Achim_von_Arnim_-_Novellen_(1810),Novellen,1810,rein,0,11
Achim_von_Arnim_-_Novellen_(1810),Novellen,1810,blau,0,11
Achim_von_Arnim_-_Novellen_(1810),Novellen,1810,leer,0,11
Achim_von_Arnim_-_Novellen_(1810),Novellen,1810,kalt,0,11
Achim_von_Arnim_-_Novellen_(1810),Novellen,1810,klar,0,11
Achim_von_Arnim_-_Novellen_(1810),Novellen,1810,still,1,11
Achim_von_Arnim_-_Novellen_(1810),Novellen,1810,warm,0,11
Achim_von_Arnim_-_Novellen_(1810),Novellen,1810,feucht,0,11
Eugenie_Marlitt_-_Die_zwölf_Apostel_(1865),Die zwölf Apostel,1865,frisch,1,6
Eugenie_Marlitt_-_Die_zwölf_Apostel_(1865),Die zwölf Apostel,1865,frei,0,6
Eugenie_Marlitt_-_Die_zwölf_Apostel_(1865),Die zwölf Apostel,1865,rein,0,6
Eugenie_Marlitt_-_Die_zwölf_Apostel_(1865),Die zwölf Apostel,1865,blau,0,6
Eugenie_Marlitt_-_Die_zwölf_Apostel_(1865),Die zwölf Apostel,1865,leer,0,6
Eugenie_Marlitt_-_Die_zwölf_Apostel_(1865),Die zwölf Apostel,1865,kalt,0,6
Eugenie_Marlitt_-_Die_zwölf_Apostel_(1865),Die zwölf Apostel,1865,klar,0,6
Eugenie_Marlitt_-_Die_zwölf_Apostel_(1865),Die zwölf Apostel,1865,still,0,6
Eugenie_Marlitt_-_Die_zwölf_Apostel_(1865),Die zwölf Apostel,1865,warm,0,6
Eugenie_Marlitt_-_Die_zwölf_Apostel_(1865),Die zwölf Apostel,1865,feucht,0,6
Marie_Nathusius_-_Elisabeth._I._Band_(1858),Elisabeth. I. Band,1858,frisch,0,5
Marie_Nathusius_-_Elisabeth._I._Band_(1858),Elisabeth. I. Band,1858,frei,0,5
Marie_Nathusius_-_Elisabeth._I._Band_(1858),Elisabeth. I. Band,1858,rein,0,5
Marie_Nathusius_-_Elisabeth._I._Band_(1858),Elisabeth. I. Band,1858,blau,0,5
Marie_Nathusius_-_Elisabeth._I._Band_(1858),Elisabeth. I. Band,1858,leer,0,5
Marie_Nathusius_-_Elisabeth._I._Band_(1858),Elisabeth. I. Band,1858,kalt,0,5
Marie_Nathusius_-_Elisabeth._I._Band_(1858),Elisabeth. I. Band,1858,klar,0,5
Marie_Nathusius_-_Elisabeth._I._Band_(1858),Elisabeth. I. Band,1858,still,0,5
Marie_Nathusius_-_Elisabeth._I._Band_(1858),Elisabeth. I. Band,1858,warm,0,5
Marie_Nathusius_-_Elisabeth._I._Band_(1858),Elisabeth. I. Band,1858,feucht,0,5
Joseph_von_Eichendorff_-_Aus_dem_Leben_eines_Taugenichts_(1826),Aus dem Leben eines Taugenichts,1826,frisch,0,27
Joseph_von_Eichendorff_-_Aus_dem_Leben_eines_Taugenichts_(1826),Aus dem Leben eines Taugenichts,1826,frei,0,27
Joseph_von_Eichendorff_-_Aus_dem_Leben_eines_Taugenichts_(1826),Aus dem Leben eines Taugenichts,1826,rein,0,27
Joseph_von_Eichendorff_-_Aus_dem_Leben_eines_Taugenichts_(1826),Aus dem Leben eines Taugenichts,1826,blau,1,27
Joseph_von_Eichendorff_-_Aus_dem_Leben_eines_Taugenichts_(1826),Aus dem Leben eines Taugenichts,1826,leer,1,27
Joseph_von_Eichendorff_-_Aus_dem_Leben_eines_Taugenichts_(1826),Aus dem Leben eines Taugenichts,1826,kalt,0,27
