decade,adjective,count,noun_count_in_decade,share
1810,frei,11,209,5.263157894736842
1810,blau,4,209,1.9138755980861244
1810,lau,3,209,1.4354066985645932
1810,kalt,3,209,1.4354066985645932
1810,feucht,2,209,0.9569377990430622
1810,heitr,2,209,0.9569377990430622
1810,schwül,2,209,0.9569377990430622
1810,herrlich,2,209,0.9569377990430622
1810,heitere,2,209,0.9569377990430622
1810,klar,2,209,0.9569377990430622
1810,still,2,209,0.9569377990430622
1810,rein,2,209,0.9569377990430622
1810,frisch,2,209,0.9569377990430622
1810,dumpf,1,209,0.4784688995215311
1810,warm,1,209,0.4784688995215311
1810,heiter,1,209,0.4784688995215311
1810,eingeschlossen,1,209,0.4784688995215311
1810,grau,1,209,0.4784688995215311
1810,gesund,1,209,0.4784688995215311
1810,kühl,1,209,0.4784688995215311
1810,wild,1,209,0.4784688995215311
1810,glühend,1,209,0.4784688995215311
1810,mild,1,209,0.4784688995215311
1820,frei,16,314,5.095541401273886
1820,frisch,14,314,4.45859872611465
1820,rein,4,314,1.2738853503184715
1820,blau,3,314,0.9554140127388535
1820,warm,3,314,0.9554140127388535
1820,klar,3,314,0.9554140127388535
1820,kalt,3,314,0.9554140127388535
1820,dick,3,314,0.9554140127388535
1820,feucht,3,314,0.9554140127388535
1820,still,2,314,0.6369426751592357
1820,scharf,2,314,0.6369426751592357
1820,kühl,1,314,0.3184713375796179
1820,leer,1,314,0.3184713375796179
1820,faul,1,314,0.3184713375796179
1820,schwül,1,314,0.3184713375796179
1820,heiter,1,314,0.3184713375796179
1820,heitere,1,314,0.3184713375796179
1820,ausländisch,1,314,0.3184713375796179
1820,heitr,1,314,0.3184713375796179
1820,bewegt,1,314,0.3184713375796179
1830,frisch,16,304,5.263157894736842
1830,frei,7,304,2.302631578947368
1830,leer,4,304,1.3157894736842104
1830,rein,4,304,1.3157894736842104
1830,feucht,3,304,0.9868421052631579
1830,warm,2,304,0.6578947368421052
1830,faul,2,304,0.6578947368421052
1830,blau,2,304,0.6578947368421052
1830,balsamisch,2,304,0.6578947368421052
1830,zeugend,2,304,0.6578947368421052
1830,gesund,2,304,0.6578947368421052
1830,durchglüht,2,304,0.6578947368421052
1830,mild,2,304,0.6578947368421052
1830,naß,1,304,0.3289473684210526
1830,erquickend,1,304,0.3289473684210526
1830,rauh,1,304,0.3289473684210526
1830,angenehm,1,304,0.3289473684210526
1830,süß,1,304,0.3289473684210526
1830,verpestet,1,304,0.3289473684210526
1830,kalt,1,304,0.3289473684210526
1830,drückend,1,304,0.3289473684210526
1830,flimmernd,1,304,0.3289473684210526
1830,still,1,304,0.3289473684210526
1830,ganz,1,304,0.3289473684210526
1830,klar,1,304,0.3289473684210526
1830,schön,1,304,0.3289473684210526
1830,nordisch,1,304,0.3289473684210526
1830,dünn,1,304,0.3289473684210526
1830,leicht,1,304,0.3289473684210526
1840,frisch,16,570,2.807017543859649
1840,frei,12,570,2.1052631578947367
1840,rein,8,570,1.4035087719298245
1840,blau,7,570,1.2280701754385965
1840,gut,5,570,0.8771929824561403
1840,kalt,4,570,0.7017543859649122
1840,kühl,3,570,0.5263157894736842
1840,erfrischt,2,570,0.3508771929824561
1840,dunkel,2,570,0.3508771929824561
1840,mild,2,570,0.3508771929824561
1840,erster,2,570,0.3508771929824561
1840,feucht,2,570,0.3508771929824561
1840,schwer,2,570,0.3508771929824561
1840,dünn,2,570,0.3508771929824561
1840,warm,2,570,0.3508771929824561
1840,heiß,2,570,0.3508771929824561
1840,klar,2,570,0.3508771929824561
1840,weich,2,570,0.3508771929824561
1840,hoch,2,570,0.3508771929824561
1840,wimmelnd,2,570,0.3508771929824561
1840,gesund,2,570,0.3508771929824561
1840,lau,1,570,0.17543859649122806
1840,eingesperrt,1,570,0.17543859649122806
1840,schneidend,1,570,0.17543859649122806
1840,durchsichtig,1,570,0.17543859649122806
1840,naß,1,570,0.17543859649122806
1840,einsam,1,570,0.17543859649122806
1840,kält,1,570,0.17543859649122806
1840,rauh,1,570,0.17543859649122806
1840,leicht,1,570,0.17543859649122806
1840,deutsch,1,570,0.17543859649122806
1840,schön,1,570,0.17543859649122806
1840,kräftig,1,570,0.17543859649122806
1840,ganz,1,570,0.17543859649122806
1840,süß,1,570,0.17543859649122806
1840,bewegt,1,570,0.17543859649122806
1840,leer,1,570,0.17543859649122806
1850,frisch,52,873,5.956471935853378
1850,frei,34,873,3.8946162657502863
1850,rein,13,873,1.4891179839633446
1850,mild,8,873,0.9163802978235969
1850,kühl,8,873,0.9163802978235969
1850,leer,6,873,0.6872852233676976
1850,gesund,5,873,0.572737686139748
1850,kalt,5,873,0.572737686139748
1850,klar,5,873,0.572737686139748
1850,blau,4,873,0.45819014891179843
1850,still,4,873,0.45819014891179843
1850,feucht,4,873,0.45819014891179843
1850,erfrischend,3,873,0.3436426116838488
1850,dumpf,3,873,0.3436426116838488
1850,wärm,3,873,0.3436426116838488
1850,warm,3,873,0.3436426116838488
1850,dick,3,873,0.3436426116838488
1850,winterlich,2,873,0.22909507445589922
1850,dunkelblau,2,873,0.22909507445589922
1850,oberer,2,873,0.22909507445589922
1850,gut,2,873,0.22909507445589922
1850,sommerlich,2,873,0.22909507445589922
1850,ganz,2,873,0.22909507445589922
1850,verpestet,2,873,0.22909507445589922
1850,schwül,2,873,0.22909507445589922
1850,durchsichtig,2,873,0.22909507445589922
1850,heiß,2,873,0.22909507445589922
1850,anderer,2,873,0.22909507445589922
