left context,keyword,right context,modifier,DC.title,author,decade,year,filename,sentence,adjective
und neun Uhr morgens eine ziemlich frische,Luft,", gegen die die völlig nackt einhergehenden",frische,Des Seefahrers Nettelbeck Lebensgeschichte,Joachim Nettelbeck,1820,1821,Joachim_Nettelbeck_-_Des_Seefahrers_Nettelbeck_Lebensgeschichte_(1821),"ziemlich frische Luft, gegen die die völlig nackt einhergehenden Neger",frisch
"Luken mit Gitterwerk versehen, um frische",Luft,zur Abkühlung zuzulassen. Eine Leiter führt,frische,Des Seefahrers Nettelbeck Lebensgeschichte,Joachim Nettelbeck,1820,1821,Joachim_Nettelbeck_-_Des_Seefahrers_Nettelbeck_Lebensgeschichte_(1821),"steigt, sind die Luken mit Gitterwerk versehen, um frische Luft zur Abkühlung",frisch
mich und sie durch einige Züge frischer,Luft,in dem Garten zu erquicken. Max,frischer,Samuel Brinks letzte Liebesgeschichte,Joseph Schreyvogel,1820,1821,Joseph_Schreyvogel_-_Samuel_Brinks_letzte_Liebesgeschichte_(1821),frischer Luft in dem Garten zu erquicken.,frisch
", zumal die Bewegung in der frischen",Luft,ihrer Gesundheit sehr wohl bekam. Auch,frischen,Rosa von Tannenburg,Christoph von Schmid,1820,1823,Christoph_von_Schmid_-_Rosa_von_Tannenburg_(1823),die Bewegung in der frischen Luft ihrer Gesundheit sehr wohl bekam.,frisch
Nun mußt du doch wieder einmal frische,Luft,"schöpfen, liebster Vater! « meinte",frische,Rosa von Tannenburg,Christoph von Schmid,1820,1823,Christoph_von_Schmid_-_Rosa_von_Tannenburg_(1823),"»Nun mußt du doch wieder einmal frische Luft schöpfen, liebster Vater!« meinte",frisch
"Junker, als wir beim Schlosse frische",Luft,"schöpften, und er streckte schon da",frische,Addrich im Moos,Heinrich Zschokke,1820,1825,Heinrich_Zschokke_-_Addrich_im_Moos_(1825),"»Gestern begegnete er mir und dem Junker, als wir beim Schlosse frische Luft",frisch
ich bei Leonoren wachte und der frischen,Luft,wegen das Fenster öffnen mußte? Ich,frischen,Addrich im Moos,Heinrich Zschokke,1820,1825,Heinrich_Zschokke_-_Addrich_im_Moos_(1825),und der frischen Luft wegen das Fenster öffnen mußte?,frisch
"die dir verhaßte Natur genießen, frische",Luft,– « » Kommt mir nur nicht,frische,Der Gelehrte,Ludwig Tieck,1820,1827,Ludwig_Tieck_-_Der_Gelehrte_(1827),"Büchern sein, gerade die dir verhaßte Natur genießen, frische Luft –«",frisch
» mit diesem eurem Märchen von frischer,Luft,", das wahrhaftig zum Volksmärchen geworden ist",frischer,Der Gelehrte,Ludwig Tieck,1820,1827,Ludwig_Tieck_-_Der_Gelehrte_(1827),"diesem eurem Märchen von frischer Luft, das wahrhaftig zum Volksmärchen",frisch
Volksmärchen geworden ist. An dieser frischen,Luft,", von der unsere Vorfahren nichts wußten",frischen,Der Gelehrte,Ludwig Tieck,1820,1827,Ludwig_Tieck_-_Der_Gelehrte_(1827),"An dieser frischen Luft, von der unsere Vorfahren nichts wußten,",frisch
zurückziehe. Er mußte noch vorher frische,Luft,schöpfen und sich von dem Schlage erholen,frische,Der Gelehrte,Ludwig Tieck,1820,1827,Ludwig_Tieck_-_Der_Gelehrte_(1827),"noch vorher frische Luft schöpfen und sich von dem Schlage erholen,",frisch
