decade,year_int,title,filename,count,noun_count,rel_freq,share_of_adj_count_in_decade,adjective
1820,1827,Der Gelehrte,Ludwig_Tieck_-_Der_Gelehrte_(1827),4,7,57.14285714285714,0.3333333333333333,frisch
1820,1823,Rosa von Tannenburg,Christoph_von_Schmid_-_Rosa_von_Tannenburg_(1823),2,5,40.0,0.16666666666666666,frisch
1820,1821,Des Seefahrers Nettelbeck Lebensgeschichte,Joachim_Nettelbeck_-_Des_Seefahrers_Nettelbeck_Lebensgeschichte_(1821),2,8,25.0,0.16666666666666666,frisch
1820,1821,Samuel Brinks letzte Liebesgeschichte,Joseph_Schreyvogel_-_Samuel_Brinks_letzte_Liebesgeschichte_(1821),1,5,20.0,0.08333333333333333,frisch
1820,1825,Addrich im Moos,Heinrich_Zschokke_-_Addrich_im_Moos_(1825),2,15,13.333333333333334,0.16666666666666666,frisch
1850,1858,Elisabeth – Zweiter Band,Marie_Nathusius_-_Elisabeth_–_Zweiter_Band_(1858),3,12,25.0,0.058823529411764705,frisch
1850,1851,Namenlose Geschichten,FW_Hackländer_-_Namenlose_Geschichten_-_Zweiter_Band_(1851),2,9,22.22222222222222,0.0392156862745098,frisch
1850,1850,Handel und Wandel,FW_Hackländer_-_Handel_und_Wandel_(1850),3,15,20.0,0.058823529411764705,frisch
1850,1859,Der Strandvogt von Jasmund,Philipp_Galen_-_Der_Strandvogt_von_Jasmund_-_Dritter_Band_(1859),4,23,17.391304347826086,0.0784313725490196,frisch
1850,1857,Der Augenblick des Glücks,FW_Hackländer_-_Der_Augenblick_des_Glücks_(1857),2,12,16.666666666666664,0.0392156862745098,frisch
1820,1821,Des Seefahrers Nettelbeck Lebensgeschichte,Joachim_Nettelbeck_-_Des_Seefahrers_Nettelbeck_Lebensgeschichte_(1821),2,8,25.0,0.15384615384615385,frei
1820,1824,Die Gräfin Cherubim,H._Clauren_-_Die_Gräfin_Cherubim_(1824),1,5,20.0,0.07692307692307693,frei
1820,1823,Rosa von Tannenburg,Christoph_von_Schmid_-_Rosa_von_Tannenburg_(1823),1,5,20.0,0.07692307692307693,frei
1820,1827,Phantasien und Skizzen,Wilhelm_Hauff_-_Phantasien_und_Skizzen_(1827),1,6,16.666666666666664,0.07692307692307693,frei
1820,1821,Wilhelm Meisters Wanderjahre,Johann_Wolfgang_von_Goethe_-_Wilhelm_Meisters_Wanderjahre_(1821),2,13,15.384615384615385,0.15384615384615385,frei
