left context,keyword,right context,modifier,DC.title,author,decade,DC.date,filename,sentence,adjective
"zu lieben, auch des Nachts frische",Luft,zu haben. Er schläft bei offenem,frische,Der Weg zum Glück. Sechster Band,Karl May,1880,1886,Karl_May_-_Der_Weg_zum_Glück._Sechster_Band_(1886),des Nachts frische Luft zu haben.,frisch
. Nehmen Sie einen Mund voll frischer,Luft,". Bitte, lassen Sie mich Sie",frischer,Der Weg zum Glück. Sechster Band,Karl May,1880,1886,Karl_May_-_Der_Weg_zum_Glück._Sechster_Band_(1886),einen Mund voll frischer Luft.,frisch
", ein Fenster zu öffnen, frische",Luft,hereinzulassen; ja sie befahl so vielerlei,frische,Gesammelte Erzählungen,Isabella Braun,1880,1886,Isabella_Braun_-_Gesammelte_Erzählungen_(1886),"der Stadt und befahl, ein Fenster zu öffnen, frische Luft hereinzulassen;",frisch
"für dich, du bist an frische",Luft,"gewöhnt, und ich ließ dich so",frische,Gesammelte Erzählungen,Isabella Braun,1880,1886,Isabella_Braun_-_Gesammelte_Erzählungen_(1886),"stickicht für dich, du bist an frische Luft gewöhnt, und ich ließ dich so",frisch
ein und brachte eine neue und frische,Luft,"mit, die jedem willkommen war.",frische,Artur und Squirrel,Johanna Spyri,1880,1888,Johanna_Spyri_-_Artur_und_Squirrel_(1888),"frische Luft mit, die jedem willkommen war.",frisch
"mehr Freiheit bekam, mich in freier",Luft,herumzutreiben und nach meinem Gefallen zu denken,freier,Novellen,Achim von Arnim,1810,1810,Achim_von_Arnim_-_Novellen_(1810),"Freiheit bekam, mich in freier Luft herumzutreiben und nach meinem Gefallen zu",frei
Sie hatte keinen Trost als die freie,Luft,"und die Berge, und zu denen",freie,Novellen,Achim von Arnim,1810,1810,Achim_von_Arnim_-_Novellen_(1810),"Sie hatte keinen Trost als die freie Luft und die Berge, und zu denen",frei
verlassen und er wieder in der freien,Luft,"herumwandeln konnte wie zuvor, ward auch",freien,Die Molkenkur,Ulrich Hegner,1810,1812,Ulrich_Hegner_-_Die_Molkenkur_(1812),Krankheit verlassen und er wieder in der freien Luft herumwandeln konnte wie,frei
"öffnete die Fenster, um die freie",Luft,hineinströmen zu lassen in das schwüle Zimmer,freie,Der Magnetiseur,ETA Hoffmann,1810,1814,ETA_Hoffmann_-_Der_Magnetiseur_(1814),"dem Bette, ich öffnete die Fenster, um die freie Luft hineinströmen zu lassen",frei
"Wächter, nicht die Schneckentreppen in freier",Luft,", nicht die einzelnen Steine, auf",freier,Die Kronenwächter,Achim von Arnim,1810,1817,Achim_von_Arnim_-_Die_Kronenwächter_(1817),"nicht die Schneckentreppen in freier Luft, nicht die einzelnen Steine, auf",frei
. Julia sehnte sich nach der freien,Luft,; der Meister führte sie in den,freien,Lebensansichten des Katers Murr,ETA Hoffmann,1810,1819,ETA_Hoffmann_-_Lebensansichten_des_Katers_Murr_(1819),Julia sehnte sich nach der freien Luft;,frei
aus dem dunkeln Kerker an Gottes freie,Luft,"und an das Sonnenlicht herauskam, als",freie,Rosa von Tannenburg,Christoph von Schmid,1820,1823,Christoph_von_Schmid_-_Rosa_von_Tannenburg_(1823),"Gottes freie Luft und an das Sonnenlicht herauskam, als träte er in den Himmel.",frei
"und versicherte, daß ihm die freie",Luft,"am heilsamsten sey, und daß er",freie,Die Gräfin Cherubim,H. Clauren,1820,1824,H._Clauren_-_Die_Gräfin_Cherubim_(1824),"wie der junge Morgen, vom Lager auf, und versicherte, daß ihm die freie Luft am",frei
"am Rabenstein, Der stirbt in freier",Luft,. Die Glocken klingen vom Thurm ihm,freier,Walladmor,Willibald Alexis,1820,1824,Willibald_Alexis_-_Walladmor_(1824),Der stirbt in freier Luft.,frei
mehr durch den Abstand gegen die freie,Luft,"präsentiren konnte, und vor einem eben",freie,Walladmor,Willibald Alexis,1820,1824,Willibald_Alexis_-_Walladmor_(1824),"nicht mehr durch den Abstand gegen die freie Luft präsentiren konnte, und vor",frei
der Felsen oberhalb nunmehr sich in freier,Luft,"zu wölben schien, konnte man den",freier,Walladmor,Willibald Alexis,1820,1824,Willibald_Alexis_-_Walladmor_(1824),"oberhalb nunmehr sich in freier Luft zu wölben schien, konnte man den schmalen",frei
; ich will hoch sterben in freier,Luft,. Der Alderman trat einige Schritte vor,freier,Walladmor,Willibald Alexis,1820,1824,Willibald_Alexis_-_Walladmor_(1824),will hoch sterben in freier Luft.,frei
", als er zuerst wieder die freie",Luft,begrüßen durfte. Er jauchzte im Gefühl,freie,Dichterleben,Ludwig Tieck,1820,1825,Ludwig_Tieck_-_Dichterleben_(1825),die freie Luft begrüßen durfte.,frei
"leichter, da er in der freien",Luft,"stand, und der Nachtfrost kühlte wie",freien,Der Jude,Carl Spindler,1820,1827,Carl_Spindler_-_Der_Jude_(1827),"Ihm ward leichter, da er in der freien Luft stand, und der Nachtfrost",frei
"willkommene Stelle dar, um in freier",Luft,"zu arbeiten, zu beten, zu",freier,Der Jude,Carl Spindler,1820,1827,Carl_Spindler_-_Der_Jude_(1827),"um in freier Luft zu arbeiten, zu beten, zu plaudern, oder dem Treiben und",frei
man ist frei. Gehen in freier,Luft,", ohne Bande, schlafen unter freiem",freier,Der Jude,Carl Spindler,1820,1827,Carl_Spindler_-_Der_Jude_(1827),"Gehen in freier Luft, ohne",frei
"tiefes grünes Wasser, In tiefe blaue",Luft,", in blendend Feuer Und bin ich",blaue,"Armut, Reichtum, Schuld und Buße der Gräfin Dolores",Achim von Arnim,1810,1810,"Achim_von_Arnim_-_Armut,_Reichtum,_Schuld_und_Buße_der_Gräfin_Dolores_(1810)","In tiefe blaue Luft, in blendend Feuer",blau
Räume? Was rauscht durch diese blaue,Luft,"? Was sagt ihr zueinander, Bäume",blaue,Der Zauberring,Friedrich de la Motte Fouqué,1810,1813,Friedrich_de_la_Motte_Fouqué_-_Der_Zauberring_(1813),Was rauscht durch diese blaue Luft?,blau
"und her beschreibend, durch die blaue",Luft,", während die unten im Grünen auf",blaue,Das Marmorbild,Joseph von Eichendorff,1810,1819,Joseph_von_Eichendorff_-_Das_Marmorbild_(1819),"die blaue Luft, während die unten im Grünen auf und nieder schwebenden",blau
grünlich goldigen Häupter hoch in der blauen,Luft,"und flüstern miteinander, wie jene am",blauen,Gabriele,Johanna Schopenhauer,1810,1819,Johanna_Schopenhauer_-_Gabriele_(1819),"grünlich goldigen Häupter hoch in der blauen Luft und flüstern miteinander,",blau
zu sprechen. Als wäre aus blauer,Luft,"ein Blitzstrahl vor ihm niedergeschmettert, so",blauer,Gabriele,Johanna Schopenhauer,1810,1819,Johanna_Schopenhauer_-_Gabriele_(1819),"Als wäre aus blauer Luft ein Blitzstrahl vor ihm niedergeschmettert, so, von",blau
", um den Weingebirgen, der blauen",Luft,und dem weiten Blicke über das glänzende,blauen,Dichterleben,Ludwig Tieck,1820,1825,Ludwig_Tieck_-_Dichterleben_(1825),"Zimmers wichen zurück, um den Weingebirgen, der blauen Luft und dem weiten",blau
mir unzählige Lerchen in der klaren blauen,Luft,"– ich schämte mich, laut zu",blauen,Aus dem Leben eines Taugenichts,Joseph von Eichendorff,1820,1826,Joseph_von_Eichendorff_-_Aus_dem_Leben_eines_Taugenichts_(1826),"blauen Luft – ich schämte mich, laut zu schreien, aber innerlichst jauchzte ich",blau
und die grünen Bäume in der blauen,Luft,"herumflogen, daß es mir blau und",blauen,Reisebilder,Heinrich Heine,1820,1826,Heinrich_Heine_-_Reisebilder_(1826),"die grünen Bäume in der blauen Luft herumflogen, daß es mir blau und grün vor",blau
Stücklein täglichen Brots täglich aus der blauen,Luft,"holt, wie eine Lerche aus der",blauen,Der Jude,Carl Spindler,1820,1827,Carl_Spindler_-_Der_Jude_(1827),"sein elend Stücklein täglichen Brots täglich aus der blauen Luft holt, wie eine",blau
"in der schönen, lieben, blauen",Luft,zwischen Himmel und Erde schweben. Andere,blauen,Novellen,Wilhelm Hauff,1820,1828,Wilhelm_Hauff_-_Novellen_(1828),"lieben, blauen Luft zwischen Himmel und Erde schweben.",blau
", mehr ihren Betrachtungen und der reinen",Luft,"überlassen, nur so gelegentlich den einen",reinen,Das Haidedorf,Adalbert Stifter,1840,1840,Adalbert_Stifter_-_Das_Haidedorf_(1840),"da war, mehr ihren Betrachtungen und der reinen Luft überlassen, nur so",rein
sprach er: » 'S ist reine,Luft,"hier, Wedigo. Laßt uns nun",reine,Der Roland von Berlin – Erster Band,Willibald Alexis,1840,1840,Willibald_Alexis_-_Der_Roland_von_Berlin_–_Erster_Band_(1840),"reine Luft hier, Wedigo.",rein
"vom alten Rathaus abdecken, damit reine",Luft,"wird; aber Du lieber Gott,",reine,Der Roland von Berlin – Zweiter Band,Willibald Alexis,1840,1840,Willibald_Alexis_-_Der_Roland_von_Berlin_–_Zweiter_Band_(1840),damit reine Luft wird;,rein
Zügen durfte er nun wieder die reine,Luft,"der Alpen, den würzigen Duft der",reine,Novellen und Erzählungen 1,Franz von Gaudy,1840,1840,Franz_von_Gaudy_-_Novellen_und_Erzählungen_1_(1840),"Zügen durfte er nun wieder die reine Luft der Alpen, den würzigen Duft",rein
Strahlen der schwachen Lenzsonne und der reinen,Luft,genießen wollten. Eine Mutter sah ich,reinen,Feldblumen,Adalbert Stifter,1840,1841,Adalbert_Stifter_-_Feldblumen_(1841),der reinen Luft genießen wollten.,rein
eines Kerkers! Ich atme diese reine,Luft,", teurer Lepreux, ich drücke die",reine,Der Vogt von Sylt,Theodor Mügge,1850,1851,Theodor_Mügge_-_Der_Vogt_von_Sylt_(1851),"Ich atme diese reine Luft, teurer Lepreux, ich drücke die Hand eines Freundes;",rein
"roh genug gewesen wäre, die reine",Luft,eines Theezimmers dadurch zu verpesten. «,reine,Eugen Stillfried,FW Hackländer,1850,1852,FW_Hackländer_-_Eugen_Stillfried_-_Erster_Band_(1852),"wäre, die reine Luft eines Theezimmers dadurch zu verpesten.",rein
und ziehe oberhalb desselben begierig die reinere,Luft,"ein. » Ja so, den",reinere,Eugen Stillfried – Zweiter Band,FW Hackländer,1850,1852,FW_Hackländer_-_Eugen_Stillfried_–_Zweiter_Band_(1852),dichten Nebel auf und ziehe oberhalb desselben begierig die reinere Luft ein.,rein
. Ich trat in die kühle reine,Luft,und auf die nasse Wiese hinaus.,reine,Bunte Steine,Adalbert Stifter,1850,1853,Adalbert_Stifter_-_Bunte_Steine_(1853),Ich trat in die kühle reine Luft und auf die nasse Wiese hinaus.,rein
