lastname,firstname,title,year,volume,ID,decade
Halm,Friedrich,Die Freundinnen,1860,,Friedrich_Halm_-_Die_Freundinnen_(1860),1860
Hartmann,Moritz,Das Schloß im Gebirge,1866,,Moritz_Hartmann_-_Das_Schloß_im_Gebirge_(1866),1860
Strubberg),Armand (Friedrich,Saat und Ernte,1866,,Armand_(Friedrich_Strubberg)_-_Saat_und_Ernte_(1866),1860
Hahn-Hahn,Ida,Peregrin,1864,,Ida_Hahn-Hahn_-_Peregrin_(1864),1860
Scherr,Johannes,Werther-Graubart,1873,,Johannes_Scherr_-_Werther-Graubart_(1873),1870
Storm,Theodor,Eekenhof,1879,,Theodor_Storm_-_Eekenhof_(1879),1870
Möllhausen,Balduin,Westliche Fährten,1873,,Balduin_Möllhausen_-_Westliche_Fährten_(1873),1870
Scherr,Johannes,Die Tochter der Luft,1874,,Johannes_Scherr_-_Die_Tochter_der_Luft_(1874),1870
Schaumberger,Heinrich,Gesalzene Krapfen,1874,,Heinrich_Schaumberger_-_Gesalzene_Krapfen_(1874),1870
Rosegger,Peter,Als Großvater freien ging,1874,,Peter_Rosegger_-_Als_Großvater_freien_ging_(1874),1870
Freytag,Gustav,Die Ahnen,1872,,Gustav_Freytag_-_Die_Ahnen_(1872),1870
Raabe,Wilhelm,Höxter und Corvey,1875,,Wilhelm_Raabe_-_Höxter_und_Corvey_(1875),1870
Rosegger,Peter,Die schöne Lenerl,1874,,Peter_Rosegger_-_Die_schöne_Lenerl_(1874),1870
Steub,Ludwig,Die falsche Mutter Gottes,1871,,Ludwig_Steub_-_Die_falsche_Mutter_Gottes_(1871),1870
Spyri,Johanna,Wie Wiselis Weg gefunden wird,1878,,Johanna_Spyri_-_Wie_Wiselis_Weg_gefunden_wird_(1878),1870
Raabe,Wilhelm,Wunnigel,1877,,Wilhelm_Raabe_-_Wunnigel_(1877),1870
von Saar,Ferdinand,Marianne,1873,,Ferdinand_von_Saar_-_Marianne_(1873),1870
Storm,Theodor,Carsten Curator,1878,,Theodor_Storm_-_Carsten_Curator_(1878),1870
von Hillern,Wilhemine,Die Geier-Wally,1875,,Wilhemine_von_Hillern_-_Die_Geier-Wally_(1875),1870
Steub,Ludwig,Benno und Kriemhilde,1879,,Ludwig_Steub_-_Benno_und_Kriemhilde_(1879),1870
Raabe,Wilhelm,Meister Autor oder Die Geschichten vom versunkenen Garten,1874,,Wilhelm_Raabe_-_Meister_Autor_oder_Die_Geschichten_vom_versunkenen_Garten_(1874),1870
Keller,Gottfried,Dietegen,1874,,Gottfried_Keller_-_Dietegen_(1874),1870
von Saar,Ferdinand,Die Geigerin,1875,,Ferdinand_von_Saar_-_Die_Geigerin_(1875),1870
Raabe,Wilhelm,Der Schüdderump,1870,,Wilhelm_Raabe_-_Der_Schüdderump_(1870),1870
Hackländer,FW,Feuerwerker Wortmann und andere Soldatengeschichten,1877,,FW_Hackländer_-_Feuerwerker_Wortmann_und_andere_Soldatengeschichten_(1877),1870
Rosegger,Peter,Der Pfarrersbub,1874,,Peter_Rosegger_-_Der_Pfarrersbub_(1874),1870
Wörishöffer,Sophie,Robert des Schiffsjungen Fahrten und Abenteuer,1877,,Sophie_Wörishöffer_-_Robert_des_Schiffsjungen_Fahrten_und_Abenteuer_(1877),1870
Vischer,Friedrich Theodor,Auch Einer,1879,,Friedrich_Theodor_Vischer_-_Auch_Einer_(1879),1870
May,Karl,Ein Stücklein vom alten Dessauer,1875,,Karl_May_-_Ein_Stücklein_vom_alten_Dessauer_(1875),1870
Keller,Gottfried,Kleider machen Leute,1874,,Gottfried_Keller_-_Kleider_machen_Leute_(1874),1870
von Winterfeld,Adolf,Die vier Töchter des Rittmeister Schimmelmann,1873,,Adolf_von_Winterfeld_-_Die_vier_Töchter_des_Rittmeister_Schimmelmann_(1873),1870
Kürnberger,Ferdinand,Wie ein prosaischer Mann ein poetisches Bräutchen gewinnt,1877,,Ferdinand_Kürnberger_-_Wie_ein_prosaischer_Mann_ein_poetisches_Bräutchen_gewinnt_(1877),1870
Fontane,Theodor,Vor dem Sturm,1878,,Theodor_Fontane_-_Vor_dem_Sturm_(1878),1870
Temme,Jodocus Donatus Hubertus,In einer Brautnacht,1873,,Jodocus_Donatus_Hubertus_Temme_-_In_einer_Brautnacht_(1873),1870
Marlitt,Eugenie,Das Heideprinzeßchen,1872,,Eugenie_Marlitt_-_Das_Heideprinzeßchen_(1872),1870
Lindau,Rudolf,Liquidiert,1877,,Rudolf_Lindau_-_Liquidiert_(1877),1870
von François,Louise,Die letzte Reckenburgerin,1871,,Louise_von_François_-_Die_letzte_Reckenburgerin_(1871),1870
Werner,E,Glück auf!,1874,,E_Werner_-_Glück_auf!_(1874),1870
Raabe,Wilhelm,Eulenpfingsten,1874,,Wilhelm_Raabe_-_Eulenpfingsten_(1874),1870
Raabe,Wilhelm,Zum wilden Mann,1873,,Wilhelm_Raabe_-_Zum_wilden_Mann_(1873),1870
Hackländer,FW,Der letzte Bombardier,1870,,FW_Hackländer_-_Der_letzte_Bombardier_(1870),1870
Storm,Theodor,Beim Vetter Christian,1874,,Theodor_Storm_-_Beim_Vetter_Christian_(1874),1870
Hamerling,Robert,Aspasia,1875,,Robert_Hamerling_-_Aspasia_(1875),1870
Auerbach,Berthold,Landolin von Reutershöfen,1878,,Berthold_Auerbach_-_Landolin_von_Reutershöfen_(1878),1870
von Sacher-Masoch,Leopold,Der Capitulant,1875,,Leopold_von_Sacher-Masoch_-_Der_Capitulant_(1875),1870
Storm,Theodor,Waldwinkel,1874,,Theodor_Storm_-_Waldwinkel_(1874),1870
Rosegger,Peter,Die Wallfahrer,1874,,Peter_Rosegger_-_Die_Wallfahrer_(1874),1870
Wildermuth,Ottilie,Die alte Freundin,1877,,Ottilie_Wildermuth_-_Die_alte_Freundin_(1877),1870
May,Karl,Scepter und Hammer,1879,,Karl_May_-_Scepter_und_Hammer_(1879),1870
Marlitt,Eugenie,Die zweite Frau,1874,,Eugenie_Marlitt_-_Die_zweite_Frau_(1874),1870
Möllhausen,Balduin,Der Schatz von Quivira,1879,,Balduin_Möllhausen_-_Der_Schatz_von_Quivira_(1879),1870
Wildermuth,Ottilie,Todte Treue,1877,,Ottilie_Wildermuth_-_Todte_Treue_(1877),1870
Raabe,Wilhelm,Deutscher Adel,1878,,Wilhelm_Raabe_-_Deutscher_Adel_(1878),1870
Meding,Oskar,Der Todesgruß der Legionen,1874,,Oskar_Meding_-_Der_Todesgruß_der_Legionen_(1874),1870
Becker,August,Die Nonnensusel,1886,,August_Becker_-_Die_Nonnensusel_(1886),1880
Keller,Gottfried,Das Sinngedicht,1881,,Gottfried_Keller_-_Das_Sinngedicht_(1881),1880
Schmitthenner,Adolf,Der Handwerksbursche,1883,,Adolf_Schmitthenner_-_Der_Handwerksbursche_(1883),1880
Schücking,Levin,Hart am Rande,1887,,Levin_Schücking_-_Hart_am_Rande_(1887),1880
Fontane,Theodor,Schach von Wuthenow,1883,,Theodor_Fontane_-_Schach_von_Wuthenow_(1883),1880
Steinhausen,Heinrich,Irmela,1881,,Heinrich_Steinhausen_-_Irmela_(1881),1880
Meyer,Conrad Ferdinand,Das Leiden eines Knaben,1883,,Conrad_Ferdinand_Meyer_-_Das_Leiden_eines_Knaben_(1883),1880
May,Karl,Der Weg zum Glück. Sechster Band,1886,,Karl_May_-_Der_Weg_zum_Glück._Sechster_Band_(1886),1880
Fontane,Theodor,Irrungen Wirrungen,1888,,Theodor_Fontane_-_Irrungen_Wirrungen_(1888),1880
Spyri,Johanna,"Heidi kann brauchen, was es gelernt hat",1881,,"Johanna_Spyri_-_Heidi_kann_brauchen,_was_es_gelernt_hat_(1881)",1880
von Ebner-Eschenbach,Marie,Die schönsten Erzählungen,1889,,Marie_von_Ebner-Eschenbach_-_Die_schönsten_Erzählungen_(1889),1880
Wörishöffer,Sophie,Onnen Visser,1885,Der Schmugglersohn von Norderney,Sophie_Wörishöffer_-_Onnen_Visser_-_Der_Schmugglersohn_von_Norderney_(1885),1880
Voß,Richard,Die Sabinerin,1889,,Richard_Voß_-_Die_Sabinerin_(1889),1880
Spyri,Johanna,Artur und Squirrel,1888,,Johanna_Spyri_-_Artur_und_Squirrel_(1888),1880
Fontane,Theodor,Unterm Birnbaum,1885,,Theodor_Fontane_-_Unterm_Birnbaum_(1885),1880
Böhlau,Helene,Der schöne Valentin,1886,,Helene_Böhlau_-_Der_schöne_Valentin_(1886),1880
Wolff,Julius,Der Sülfmeister,1883,,Julius_Wolff_-_Der_Sülfmeister_(1883),1880
Braun,Isabella,Gesammelte Erzählungen,1886,,Isabella_Braun_-_Gesammelte_Erzählungen_(1886),1880
May,Karl,Die Juweleninsel,1880,,Karl_May_-_Die_Juweleninsel_(1880),1880
Jensen,Wilhelm,Dietwald Werneken,1888,,Wilhelm_Jensen_-_Dietwald_Werneken_(1888),1880
Meding,Oskar,Die Saxoborussen,1885,,Oskar_Meding_-_Die_Saxoborussen_(1885),1880
von Ebner-Eschenbach,Marie,Der gute Mond,1886,,Marie_von_Ebner-Eschenbach_-_Der_gute_Mond_(1886),1880
Raabe,Wilhelm,Pfisters Mühle,1884,,Wilhelm_Raabe_-_Pfisters_Mühle_(1884),1880
Wichert,Ernst,Der Schaktarp,1881,,Ernst_Wichert_-_Der_Schaktarp_(1881),1880
Voß,Richard,Felice Leste,1889,,Richard_Voß_-_Felice_Leste_(1889),1880
von Glümer,Claire,Gesühnt,1882,,Claire_von_Glümer_-_Gesühnt_(1882),1880
von Suttner,Bertha,Die Waffen nieder!,1889,,Bertha_von_Suttner_-_Die_Waffen_nieder!_(1889),1880
Conrad,Michael Georg,Die bayrische Königstragödie im Bürgerhause,1886,,Michael_Georg_Conrad_-_Die_bayrische_Königstragödie_im_Bürgerhause_(1886),1880
Wörishöffer,Sophie,Gerettet aus Sibirien,1885,,Sophie_Wörishöffer_-_Gerettet_aus_Sibirien_(1885),1880
Jensen,Wilhelm,Die Pfeifer vom Dusenbach,1886,,Wilhelm_Jensen_-_Die_Pfeifer_vom_Dusenbach_(1886),1880
von Ebner-Eschenbach,Marie,Er lasst die Hand küssen,1886,,Marie_von_Ebner-Eschenbach_-_Er_lasst_die_Hand_küssen_(1886),1880
Wolff,Julius,Der Raubgraf,1884,,Julius_Wolff_-_Der_Raubgraf_(1884),1880
Storm,Theodor,Der Schimmelreiter,1888,,Theodor_Storm_-_Der_Schimmelreiter_(1888),1880
Spitteler,Carl,Ei Ole,1887,,Carl_Spitteler_-_Ei_Ole_(1887),1880
Franzos,Karl Emil,Moschko von Parma,1880,,Karl_Emil_Franzos_-_Moschko_von_Parma_(1880),1880
Keller,Gottfried,Martin Salander,1886,,Gottfried_Keller_-_Martin_Salander_(1886),1880
Raabe,Wilhelm,Das Odfeld,1889,,Wilhelm_Raabe_-_Das_Odfeld_(1889),1880
Wichert,Ernst,Ewe,1880,,Ernst_Wichert_-_Ewe_(1880),1880
Schmidt,Maximilian,Die Schwanjungfrau,1885,,Maximilian_Schmidt_-_Die_Schwanjungfrau_(1885),1880
Ganghofer,Ludwig,Die Rittersleut,1880,,Ludwig_Ganghofer_-_Die_Rittersleut_(1880),1880
Ebers,Georg,Die Schwestern,1880,,Georg_Ebers_-_Die_Schwestern_(1880),1880
May,Karl,Lopez Jordan,1889,,Karl_May_-_Lopez_Jordan_(1889),1880
Heyse,Paul,Spielmannslegende,1883,,Paul_Heyse_-_Spielmannslegende_(1883),1880
Schmidt,Maximilian,'s Almstummerl,1888,,Maximilian_Schmidt_-_'s_Almstummerl_(1888),1880
May,Karl,Der Weg zum Glück. Zweiter Band,1886,,Karl_May_-_Der_Weg_zum_Glück._Zweiter_Band_(1886),1880
Augusti,Brigitte,Mädchenlose,1882,,Brigitte_Augusti_-_Mädchenlose_(1882),1880
der Decken,Auguste von,Brausejahre,1885,,Auguste_von_der_Decken_-_Brausejahre_(1885),1880
Ganghofer,Ludwig,Die Mühle am Fundensee,1880,,Ludwig_Ganghofer_-_Die_Mühle_am_Fundensee_(1880),1880
Meyer,Conrad Ferdinand,Plautus im Nonnenkloster,1882,,Conrad_Ferdinand_Meyer_-_Plautus_im_Nonnenkloster_(1882),1880
Ganghofer,Ludwig,Die Brautfahrt des Damian Zagg,1880,,Ludwig_Ganghofer_-_Die_Brautfahrt_des_Damian_Zagg_(1880),1880
Schubin,Ossip,Toter Frühling,1893,,Ossip_Schubin_-_Toter_Frühling_(1893),1890
Eyth,Max,Hinter Pflug und Schraubstock,1899,,Max_Eyth_-_Hinter_Pflug_und_Schraubstock_(1899),1890
Panizza,Oskar,Das Wirtshaus zur Dreifaltigkeit,1893,,Oskar_Panizza_-_Das_Wirtshaus_zur_Dreifaltigkeit_(1893),1890
Schnitzler,Arthur,Der Witwer,1894,,Arthur_Schnitzler_-_Der_Witwer_(1894),1890
Mauthner,Fritz,Böhmische Novellen,1897,,Fritz_Mauthner_-_Böhmische_Novellen_(1897),1890
Meier,Emerenz,Der Brechelbrei,1897,,Emerenz_Meier_-_Der_Brechelbrei_(1897),1890
Seidel,Heinrich,Leberecht Hühnchen als Großvater,1890,,Heinrich_Seidel_-_Leberecht_Hühnchen_als_Großvater_(1890),1890
von Saar,Ferdinand,Tambi,1897,,Ferdinand_von_Saar_-_Tambi_(1897),1890
Panizza,Oskar,Indianer-Gedanken,1893,,Oskar_Panizza_-_Indianer-Gedanken_(1893),1890
Panizza,Oskar,Der Korsetten-Fritz,1893,,Oskar_Panizza_-_Der_Korsetten-Fritz_(1893),1890
Schmidt,Maximilian,Humor (erste Reihe),1899,,Maximilian_Schmidt_-_Humor_(erste_Reihe)_(1899),1890
Seidel,Heinrich,Das alte Haus,1899,,Heinrich_Seidel_-_Das_alte_Haus_(1899),1890
von Wolzogen,Ernst,"Die Erbschleicherinnen, Band 1",1895,,"Ernst_von_Wolzogen_-_Die_Erbschleicherinnen,_Band_1_(1895)",1890
Spielhagen,Friedrich,Susi,1895,,Friedrich_Spielhagen_-_Susi_(1895),1890
von Hofmannsthal,Hugo,Gerechtigkeit,1893,,Hugo_von_Hofmannsthal_-_Gerechtigkeit_(1893),1890
von Wolzogen,Ernst,Der Thronfolger,1892,Erster Band,Ernst_von_Wolzogen_-_Der_Thronfolger_-_Erster_Band_(1892),1890
Rosegger,Peter,Die Abelsberger Chronik,1898,,Peter_Rosegger_-_Die_Abelsberger_Chronik_(1898),1890
Eckstein,Ernst,Preisgekrönt,1899,,Ernst_Eckstein_-_Preisgekrönt_(1899),1890
Voß,Richard,Villa Falconieri,1896,,Richard_Voß_-_Villa_Falconieri_(1896),1890
von Eschstruth,Nataly,Jung gefreit,1897,1,Nataly_von_Eschstruth_-_Jung_gefreit_-_1_(1897),1890
Hollaender,Felix,Sturmwind im Westen,1896,,Felix_Hollaender_-_Sturmwind_im_Westen_(1896),1890
Kraft,Robert,Die Vestalinnen,1895,Band 5,Robert_Kraft_-_Die_Vestalinnen_-_Band_5_(1895),1890
Fischer,Wilhelm,Das Licht im Elendhause,1898,,Wilhelm_Fischer_-_Das_Licht_im_Elendhause_(1898),1890
Lindau,Rudolf,Schweigen,1895,,Rudolf_Lindau_-_Schweigen_(1895),1890
Dahn,Felix,Vom Chiemgau,1896,,Felix_Dahn_-_Vom_Chiemgau_(1896),1890
Fischer,Wilhelm,Wastel,1898,,Wilhelm_Fischer_-_Wastel_(1898),1890
Pastor,Willy,Der Tod des Judas,1895,,Willy_Pastor_-_Der_Tod_des_Judas_(1895),1890
Pajeken,Friedrich J,Bob der Fallensteller,1890,,Friedrich_J_Pajeken_-_Bob_der_Fallensteller_(1890),1890
May,Karl,Der Schatz im Silbersee,1890,,Karl_May_-_Der_Schatz_im_Silbersee_(1890),1890
Panizza,Oskar,Die Menschenfabrik,1890,,Oskar_Panizza_-_Die_Menschenfabrik_(1890),1890
Ganghofer,Ludwig,Schloß Hubertus,1895,,Ludwig_Ganghofer_-_Schloß_Hubertus_(1895),1890
Panizza,Oskar,Der operierte Jud',1893,,Oskar_Panizza_-_Der_operierte_Jud'_(1893),1890
Bierbaum,Otto Julius,Die Schlangendame,1896,,Otto_Julius_Bierbaum_-_Die_Schlangendame_(1896),1890
Conrad,Michael Georg,Anna-Mia,1895,,Michael_Georg_Conrad_-_Anna-Mia_(1895),1890
Hansjakob,Heinrich,Afra,1897,,Heinrich_Hansjakob_-_Afra_(1897),1890
Spitteler,Carl,"Friedli, der Kolderi",1891,,"Carl_Spitteler_-_Friedli,_der_Kolderi_(1891)",1890
Spyri,Johanna,Schloss Wildenstein,1892,,Johanna_Spyri_-_Schloss_Wildenstein_(1892),1890
Schnitzler,Arthur,Amerika,1895,,Arthur_Schnitzler_-_Amerika_(1895),1890
Schnitzler,Arthur,Der Andere,1895,,Arthur_Schnitzler_-_Der_Andere_(1895),1890
Bierbaum,Otto Julius,Die falsche Kindbetterin,1893,,Otto_Julius_Bierbaum_-_Die_falsche_Kindbetterin_(1893),1890
von Eschstruth,Nataly,Jung gefreit,1897,2,Nataly_von_Eschstruth_-_Jung_gefreit_-_2_(1897),1890
Panizza,Oskar,Der Goldregen,1893,,Oskar_Panizza_-_Der_Goldregen_(1893),1890
Riehl,Wilhelm Heinrich,Durch tausend Jahre – Zweiter Band,1897,,Wilhelm_Heinrich_Riehl_-_Durch_tausend_Jahre_–_Zweiter_Band_(1897),1890
von Hofmannsthal,Hugo,Das Dorf im Gebirge,1896,,Hugo_von_Hofmannsthal_-_Das_Dorf_im_Gebirge_(1896),1890
von Perfall,Karl,Das Königsliebchen,1895,,Karl_von_Perfall_-_Das_Königsliebchen_(1895),1890
von Eschstruth,Nataly,Der Stern des Glücks,1896,,Nataly_von_Eschstruth_-_Der_Stern_des_Glücks_(1896),1890
von Suttner,Bertha,Eva Siebeck,1892,,Bertha_von_Suttner_-_Eva_Siebeck_(1892),1890
Heer,Jakob Christoph,An heiligen Wassern,1898,,Jakob_Christoph_Heer_-_An_heiligen_Wassern_(1898),1890
Stinde,Julius,Die Seerose,1895,,Julius_Stinde_-_Die_Seerose_(1895),1890
Stehr,Hermann,Der Schindelmacher,1899,,Hermann_Stehr_-_Der_Schindelmacher_(1899),1890
