lastname,firstname,title,year,volume,ID,decade
von Eichendorff,Joseph,Eine Meerfahrt,1835,,Joseph_von_Eichendorff_-_Eine_Meerfahrt_(1835),1830
Dingelstedt,Franz,Die neuen Argonauten,1839,,Franz_Dingelstedt_-_Die_neuen_Argonauten_(1839),1830
Laube,Heinrich,Reisenovellen,1837,Band 5,Heinrich_Laube_-_Reisenovellen_-_Band_5_(1837),1830
Gotthelf,Jeremias,Leiden und Freuden eines Schulmeisters,1838,,Jeremias_Gotthelf_-_Leiden_und_Freuden_eines_Schulmeisters_(1838),1830
Brentano,Clemens,Geschichte vom braven Kasperl und dem schönen Annerl,1838,,Clemens_Brentano_-_Geschichte_vom_braven_Kasperl_und_dem_schönen_Annerl_(1838),1830
Tieck,Ludwig,Der Wassermensch,1835,,Ludwig_Tieck_-_Der_Wassermensch_(1835),1830
von Gaudy,Franz,Venetianische Novellen,1838,,Franz_von_Gaudy_-_Venetianische_Novellen_(1838),1830
Heine,Heinrich,Schnabelewopski,1834,,Heinrich_Heine_-_Schnabelewopski_(1834),1830
von Eichendorff,Joseph,Viel Lärmen um Nichts,1833,,Joseph_von_Eichendorff_-_Viel_Lärmen_um_Nichts_(1833),1830
Laube,Heinrich,Reisenovellen,1837,Band 6,Heinrich_Laube_-_Reisenovellen_-_Band_6_(1837),1830
Tieck,Ludwig,Des Lebens Überfluss,1837,,Ludwig_Tieck_-_Des_Lebens_Überfluss_(1837),1830
Dronke,Ernst,Die Maikönigin,1846,,Ernst_Dronke_-_Die_Maikönigin_(1846),1840
Stifter,Adalbert,Das Haidedorf,1840,,Adalbert_Stifter_-_Das_Haidedorf_(1840),1840
Seidl,Johann Gabriel,Cornelia Fieramonti,1842,,Johann_Gabriel_Seidl_-_Cornelia_Fieramonti_(1842),1840
Riehl,Wilhelm Heinrich,Der Stadtpfeifer,1847,,Wilhelm_Heinrich_Riehl_-_Der_Stadtpfeifer_(1847),1840
Alexis,Willibald,Der falsche Woldemar,1842,,Willibald_Alexis_-_Der_falsche_Woldemar_(1842),1840
Seidl,Johann Gabriel,Das goldene Ringlein,1842,,Johann_Gabriel_Seidl_-_Das_goldene_Ringlein_(1842),1840
Hackländer,FW,Vier Könige,1841,Bilder aus dem Soldatenleben,FW_Hackländer_-_Vier_Könige_-_Bilder_aus_dem_Soldatenleben_(1841),1840
